mount_type,wood_type,fixture_configuration,ero_vista_pole_size,pole_height_ft,115,120,130,140,150,160
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",14,63.49,57.7,48.09,40.21,33.8,28.56
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",16,51.87,46.76,38.26,31.5,26.04,21.59
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",18,42.06,37.65,30.28,24.45,19.72,15.87
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",20,33.97,30.09,23.65,18.54,14.41,11.03
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",22,27.07,23.66,17.96,13.45,9.8,6.82
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",24,21.41,18.34,13.23,9.18,5.92,3.25
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",26,16.04,13.29,8.74,5.12,2.21,0
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",28,11.55,9.07,4.94,1.66,0,0
BASE,Southern Yellow Pine Poles,Top Mount Fixture,"8-1/2"" x 8-1/4""",30,7.19,4.96,1.24,0,0,0
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",8,7.83,7.2,6.13,5.29,4.61,4.05
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",10,7.83,7.2,6.13,5.29,4.61,4.05
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",12,7.83,7.2,6.13,5.29,4.61,4.05
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",14,7.74,7.11,6.06,5.23,4.55,3.95
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",16,7.57,6.95,5.81,4.14,2.8,1.7
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",18,6.15,5.08,3.27,1.84,0.69,0
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"5"" x 5-1/2""",20,1.27,0,0,0,0,0
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",8,16.92,15.54,13.25,11.42,9.95,8.74
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",10,16.92,15.54,13.25,11.42,9.95,8.74
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",12,16.92,15.54,13.25,11.42,9.95,8.74
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",14,16.73,15.36,13.09,11.29,9.83,8.64
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",16,16.35,15.02,12.79,11.03,9.61,8.43
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",18,15.99,14.68,12.51,9.5,7.04,5.03
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",20,14.01,12,8.65,6,3.86,2.1
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",22,10,8.22,5.27,2.93,1.06,0
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",24,6.64,5.06,2.42,0,0,0
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",26,3.44,2.03,0,0,0,0
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"6-3/4"" x 6-3/4""",28,0.69,0,0,0,0,0
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",8,32.19,29.57,25.19,21.72,18.92,16.63
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",10,32.19,29.57,25.19,21.72,18.92,16.63
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",12,32.19,29.57,25.19,21.72,18.92,16.63
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",14,31.82,29.22,24.9,21.47,18.71,16.44
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",16,31.1,28.56,24.34,20.98,18.28,16.07
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",18,30.41,27.93,23.79,20.52,17.87,15.69
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",20,29.74,27.32,23.28,18.42,14.31,10.94
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",22,26.92,23.52,17.84,13.34,9.71,6.74
BASE,Southern Yellow Pine Poles,Single Side Mount Fixture,"8-1/2"" x 8-1/4""",24,21.27,18.21,13.1,9.09,5.84,3.18
