mount_type,fixture_configuration,ero_vista_pole_size,pole_height_ft,wind_speed_mph,Alaskan Yellow Cedar Poles,Southern Yellow Pine Poles
BASE,Top Mount Fixture,"5"" x 5-1/2""",18,140,0,1.98
BASE,Top Mount Fixture,"5"" x 5-1/2""",18,150,0,0.81
BASE,Top Mount Fixture,"5"" x 5-1/2""",18,160,0,0
BASE,Top Mount Fixture,"5"" x 5-1/2""",20,115,0,1.43
BASE,Top Mount Fixture,"5"" x 5-1/2""",20,120,0,0.6
BASE,Top Mount Fixture,"5"" x 5-1/2""",20,130,0,0
BASE,Top Mount Fixture,"5"" x 5-1/2""",20,140,0,0
BASE,Top Mount Fixture,"5"" x 5-1/2""",20,150,0,0
BASE,Top Mount Fixture,"5"" x 5-1/2""",20,160,0,0
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",8,115,45.91,62.59
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",8,120,41.92,57.24
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",8,130,35.28,48.33
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",8,140,30.01,41.25
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",8,150,25.76,35.56
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",8,160,22.27,30.89
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",10,115,35.25,48.55
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",10,120,32.07,44.29
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",10,130,26.77,37.19
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",10,140,22.57,31.55
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",10,150,19.01,27
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",10,160,16.06,23.28
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",12,115,27.85,38.93
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",12,120,25.15,35.38
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",12,130,20.48,29.48
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",12,140,16.78,24.71
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",12,150,13.8,20.7
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",12,160,11.36,17.42
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",14,115,21.47,31.36
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",14,120,19.11,28.22
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",14,130,15.19,22.95
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",14,140,12.07,18.76
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",14,150,9.55,15.38
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",14,160,7.49,12.61
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",16,115,16.03,24.49
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",16,120,14.03,21.8
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",16,130,10.7,17.31
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",16,140,8.05,13.76
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",16,150,5.92,10.88
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",16,160,4.17,8.54
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",18,115,11.56,18.89
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",18,120,9.84,16.57
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",18,130,6.96,12.7
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",18,140,4.69,9.63
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",18,150,2.85,7.16
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",18,160,1.35,5.13
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",20,115,7.75,14.18
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",20,120,6.25,12.16
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",20,130,3.76,8.79
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",20,140,1.78,6.11
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",20,150,0,3.96
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",20,160,0,2.19
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",22,115,4.44,10.14
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",22,120,3.12,8.36
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",22,130,0.93,5.39
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",22,140,0,3.04
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",22,150,0,1.15
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",22,160,0,0
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",24,115,1.62,6.78
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",24,120,0,5.19
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",24,130,0,2.53
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",24,140,0,0
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",24,150,0,0
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",24,160,0,0
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",26,115,0,3.57
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",26,120,0,2.15
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",26,130,0,0
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",26,140,0,0
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",26,150,0,0
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",26,160,0,0
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",28,115,0,0.8
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",28,120,0,0
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",28,130,0,0
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",28,140,0,0
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",28,150,0,0
BASE,Top Mount Fixture,"6-3/4"" x 6-3/4""",28,160,0,0
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",8,115,90.12,122.02
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",8,120,82.45,111.73
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",8,130,69.66,94.59
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",8,140,59.5,80.98
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",8,150,51.32,70.02
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",8,160,44.61,61.04
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",10,115,70.12,95.55
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",10,120,63.99,87.34
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",10,130,53.78,73.65
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",10,140,45.67,62.8
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",10,150,39.14,54.04
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",10,160,33.79,46.86
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",12,115,56.4,77.51
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",12,120,51.31,70.7
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",12,130,42.82,59.32
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",12,140,35.96,50.28
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",12,150,30.31,43
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",12,160,25.69,36.91
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",14,115,45.65,63.49
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",14,120,41.16,57.7
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",14,130,33.72,48.09
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",14,140,27.81,40.21
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",14,150,23.04,33.8
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",14,160,19.13,28.56
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",16,115,36.16,51.87
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",16,120,32.36,46.76
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",16,130,26.01,38.26
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",16,140,20.98,31.5
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",16,150,16.92,26.04
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",16,160,13.6,21.59
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",18,115,28.5,42.06
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",18,120,25.21,37.65
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",18,130,19.73,30.28
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",18,140,15.39,24.45
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",18,150,11.88,19.72
BASE,Top Mount Fixture,"8-1/2"" x 8-1/4""",18,160,9.01,15.87
